키워드,검색수PC,검색수M,클릭수PC,클릭수M,클릭률PC,클릭률M,광고수,경쟁정도
THREEJS,20,10,2,중간,0.0,0.0,0.0,0.0
웹페이지만들기,40,10,7,높음,0.0,0.0,0.0,0.0
홈페이지디자인,280,90,10,높음,5.6,5.2,2.02,5.66
홈페이지제작강의,10,20,7,높음,0.3,1.5,2.6,7.15
홈페이지제작방법,110,60,10,높음,1.6,1.2,1.47,2.0
SQL국비,10,10,7,높음,0.1,0.6,1.03,4.62
대구조경기능사학원,20,40,6,중간,3.0,4.3,13.64,9.5
내일배움카드직장인,220,510,10,높음,0.8,4.8,0.38,0.99
SQL교육,20,20,10,높음,0.3,1.2,1.37,4.8
C#배우기,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
C#국비지원,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
HTMLCSS강의,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
직업교육훈련,260,540,10,높음,2.7,9.2,1.08,1.81
엑셀데이터분석,120,70,10,높음,0.3,0.5,0.25,0.73
ADSP교육,10,10,7,높음,0.6,0.0,3.58,0.0
구글애널리틱스강의,20,< 10,7,높음,0.3,0.0,1.25,0.0
DATASCIENCE,60,50,7,높음,0.0,0.3,0.0,0.46
ROS,650,760,0,낮음,0.0,0.0,0.0,0.0
로봇,8330,19800,10,높음,5.9,47.4,0.08,0.26
인공지능,5910,7830,10,높음,6.2,43.6,0.11,0.6
정보처리산업기사실기학원,< 10,< 10,7,높음,0.0,0.6,0.0,10.0
SQL내일배움카드,< 10,10,7,높음,0.3,0.3,7.15,2.5
천호컴퓨터학원,70,150,10,높음,1.7,6.0,2.33,4.26
조경기사학원,100,180,10,높음,4.3,7.4,4.39,4.36
비전공자개발자,20,10,7,높음,0.1,0.0,0.72,0.0
빅데이터자격증,440,940,10,높음,0.8,14.6,0.19,1.65
HTML만들기,70,20,7,높음,0.0,0.3,0.0,1.37
C언어코딩,10,40,7,높음,0.0,0.3,0.0,0.89
FLUTTER학원,< 10,< 10,0,낮음,0.0,0.0,0.0,0.0
자바스프링강의,< 10,< 10,0,낮음,0.0,0.0,0.0,0.0
IT인터넷강의,< 10,< 10,7,높음,0.1,0.0,1.59,0.0
AI인공지능개발,< 10,< 10,0,낮음,0.0,0.0,0.0,0.0
CCNA국비지원,< 10,< 10,7,높음,0.3,0.5,5.72,16.67
K-DIGITALTRAINING,210,90,10,높음,0.9,2.2,0.44,2.56
피그마국비지원,20,20,7,높음,1.3,2.4,4.44,10.91
빅데이터분석기사실기,410,480,10,높음,1.0,2.5,0.25,0.56
자바웹개발,20,20,7,높음,0.0,0.0,0.0,0.0
GA4교육,20,10,7,높음,1.0,0.3,3.58,2.28
내일배움카드컴활1급,40,50,7,높음,0.1,0.3,0.37,0.49
대구코딩학원,120,3730,10,높음,2.1,6.0,1.73,0.18
HTML배우기,10,10,7,높음,0.0,0.3,0.0,2.28
유니티공부,10,20,7,높음,0.0,0.8,0.0,3.95
프로그램,1950,3480,10,높음,0.5,5.7,0.03,0.18
엑셀데이터분석강의,< 10,< 10,7,높음,0.0,0.9,0.0,14.29
자료구조,200,240,10,높음,0.1,2.3,0.06,0.94
백엔드,730,980,10,높음,0.4,1.6,0.06,0.18
R프로그래밍학원,< 10,< 10,7,높음,0.1,0.0,4.77,0.0
백엔드교육,20,20,7,높음,0.3,0.0,1.43,0.0
HTML공부,10,10,7,높음,0.0,0.0,0.0,0.0
KOSTAEDU,40,20,1,중간,0.0,0.0,0.0,0.0
개발자국비교육,20,< 10,7,높음,0.1,0.0,0.69,0.0
무료강좌,60,120,10,높음,0.1,0.3,0.17,0.22
서울IT학원,30,10,7,높음,0.7,0.8,1.88,5.36
웹서비스개발,10,< 10,7,높음,0.4,0.0,2.68,0.0
코딩사이트,150,130,7,높음,0.1,0.3,0.1,0.23
DJANGO강의,< 10,< 10,3,높음,0.3,0.0,33.34,0.0
대구조경기능사,20,100,7,높음,2.0,10.8,7.22,10.86
C#예제,< 10,< 10,3,높음,0.0,0.0,0.0,0.0
머신러닝교육,20,< 10,7,높음,0.9,0.0,3.73,0.0
온라인국비지원,20,20,10,높음,1.8,1.2,8.19,6.76
유니티프로그래밍,< 10,< 10,7,높음,0.0,0.3,0.0,3.58
내일배움카드개발자,< 10,10,7,높음,0.0,1.3,0.0,9.62
국비지원앱개발,< 10,< 10,7,높음,0.0,0.3,0.0,5.0
앱개발국비,< 10,< 10,7,높음,0.0,0.3,0.0,6.25
앱개발배우기,< 10,< 10,7,높음,0.0,0.5,0.0,5.56
데이터엔지니어교육,< 10,< 10,7,높음,0.0,0.3,0.0,3.58
SPRINGFRAMEWORK,40,< 10,3,높음,0.0,0.0,0.0,0.0
SQL내일배움,< 10,< 10,7,높음,0.3,0.0,3.58,0.0
온라인코딩학원,< 10,< 10,7,높음,0.3,0.3,9.53,6.67
컴퓨터프로그래밍,50,130,7,높음,0.1,0.8,0.26,0.6
검색광고마케터1급,960,1700,10,높음,3.1,11.0,0.34,0.68
CRM마케팅,720,900,10,높음,2.6,2.4,0.37,0.28
마케팅자동화,40,20,7,높음,0.3,0.7,0.7,2.53
VUEJS,50,50,3,높음,0.0,0.3,0.0,0.65
기획자교육,< 10,< 10,5,중간,0.0,0.0,0.0,0.0
내일배움카드앱개발,< 10,< 10,7,높음,0.0,0.3,0.0,5.0
자바독학,10,20,7,높음,0.1,0.0,0.85,0.0
자바프로그래밍기초,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
MSSQL강의,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
SQL배우기,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
SQL전문가,120,110,7,높음,0.0,0.5,0.0,0.46
기초통계,20,20,3,높음,0.0,0.0,0.0,0.0
데이터관련자격증,230,270,7,높음,0.3,0.5,0.13,0.19
데이터분석사례,< 10,< 10,3,높음,0.0,0.0,0.0,0.0
마케팅데이터,10,10,3,높음,0.0,0.0,0.0,0.0
엑셀독학,110,210,10,높음,0.5,1.5,0.49,0.74
직장인실무엑셀,10,< 10,7,높음,0.1,0.8,1.1,13.05
회귀분석,840,1070,10,높음,0.2,1.8,0.03,0.18
소프트웨어교육,40,50,10,높음,0.0,0.0,0.0,0.0
웹퍼블리셔독학,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
50대취업,530,2580,10,높음,3.5,26.3,0.68,1.09
PANDAS,400,320,0,낮음,0.0,0.0,0.0,0.0
MYSQL,1190,350,10,높음,0.3,0.9,0.03,0.27
제조데이터분석,< 10,< 10,3,높음,0.0,0.3,0.0,8.34
직장인데이터분석,10,10,7,높음,0.6,0.5,5.2,2.78
내일배움부트캠프,30,60,7,높음,0.4,0.4,1.48,0.69
청년내일배움카드,370,790,10,높음,0.4,3.6,0.12,0.47
빅데이터분석사,10,10,7,높음,0.0,0.3,0.0,1.48
SQLD무료강의,10,< 10,7,높음,0.1,0.0,1.1,0.0
자바스크립트독학,30,30,7,높음,0.0,0.3,0.0,0.81
GOOGLEANALYTICS교육,< 10,< 10,3,높음,0.0,0.0,0.0,0.0
보안교육,190,140,10,높음,0.3,2.4,0.16,1.73
보안국비지원,< 10,10,7,높음,0.0,0.5,0.0,4.17
비전공자정보보안,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
사이버보안전문가,20,60,10,높음,0.3,0.3,1.12,0.42
정보보안강의,< 10,10,7,높음,0.0,0.8,0.0,4.69
정보보안과정,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
정보보안관제사,20,20,3,높음,0.0,0.0,0.0,0.0
정보보안교육,220,60,10,높음,1.3,2.6,0.59,3.83
대구조경기능사실기,< 10,< 10,3,높음,0.3,0.0,11.12,0.0
GOOGLEANALYTICS,480,160,10,높음,0.4,0.3,0.09,0.16
빅데이터분석기사학원,40,60,10,높음,2.3,4.2,5.0,6.47
SQL자격증강의,< 10,< 10,7,높음,0.1,0.0,3.58,0.0
프론트엔드개발자과정,< 10,20,7,높음,0.0,0.0,0.0,0.0
자기개발,5870,11400,10,높음,1.4,10.6,0.03,0.1
자기계발,8170,20500,9,높음,1.7,16.3,0.03,0.09
데이터분석가학원,< 10,< 10,7,높음,0.0,0.5,0.0,50.0
빅데이터분석교육,< 10,< 10,7,높음,0.1,0.5,2.39,8.34
C#알고리즘,< 10,< 10,3,높음,0.0,0.0,0.0,0.0
C#인터페이스,< 10,< 10,3,높음,0.0,0.0,0.0,0.0
C#자격증,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
C#책,30,50,3,높음,0.0,0.0,0.0,0.0
C#코딩,10,10,6,중간,0.0,0.0,0.0,0.0
C#크롤링,< 10,< 10,3,높음,0.0,0.0,0.0,0.0
C#프로그래밍,30,20,7,높음,0.0,0.5,0.0,1.93
HEADFIRSTC#,< 10,< 10,1,중간,0.0,0.0,0.0,0.0
풀스택국비지원,20,20,7,높음,0.0,0.3,0.0,0.97
GA자격증,570,960,10,높음,0.3,2.5,0.06,0.28
개발온라인강의,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
검색광고강의,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
AI개발,230,250,10,높음,3.3,3.8,1.4,1.58
ADP자격증,780,1640,10,높음,1.7,6.8,0.23,0.44
R교육,< 10,< 10,7,높음,0.0,1.3,0.0,25.0
클론코딩,50,40,3,높음,0.0,0.0,0.0,0.0
프로그래밍교육,< 10,10,7,높음,0.3,0.4,3.58,2.6
유니티부트캠프,20,20,7,높음,0.7,2.4,3.45,9.6
FULLSTACK,100,60,0,낮음,0.0,0.0,0.0,0.0
개발자사이트,30,20,7,높음,0.6,0.5,1.79,2.39
반응형홈페이지,590,380,10,높음,20.0,19.4,3.43,5.33
아두이노강의,< 10,10,7,높음,0.1,0.5,2.05,4.17
자바프로젝트,< 10,< 10,7,높음,0.1,0.0,2.86,0.0
빅데이터시각화,10,< 10,6,중간,0.0,0.0,0.0,0.0
SQL인터넷강의,< 10,< 10,7,높음,0.1,0.0,7.15,0.0
SQL온라인강의,10,< 10,7,높음,0.6,0.0,5.2,0.0
마케팅온라인강의,10,< 10,7,높음,1.3,0.5,9.9,10.0
부산설비보전기사학원,< 10,10,4,중간,0.0,0.3,0.0,2.23
SQL강좌,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
기초코딩,20,10,7,높음,0.1,0.5,0.8,2.95
내일배움카드신청방법,2990,8480,10,높음,1.4,53.4,0.05,0.67
풀스텍개발자,< 10,10,7,높음,0.0,0.0,0.0,0.0
IT학원수강료,< 10,10,7,높음,0.0,0.3,0.0,2.5
개발자과정,10,< 10,7,높음,0.4,0.3,3.58,3.13
웹개발자국비지원,20,20,7,높음,0.0,0.2,0.0,0.89
백엔드개발자,360,920,10,높음,0.7,3.6,0.2,0.43
드론강의,30,30,7,높음,0.4,0.3,1.27,0.81
드론자격증취득,120,230,10,높음,1.2,6.5,0.98,3.04
로봇학원,60,320,10,높음,0.8,8.8,1.41,2.83
직무강의,10,< 10,7,높음,0.6,0.0,5.2,0.0
대구IT교육원,10,20,7,높음,0.1,1.5,1.03,6.82
인천국비지원무료교육,20,10,10,높음,0.0,0.2,0.0,1.89
온라인코딩강의,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
자바개발자,50,110,7,높음,0.0,1.0,0.0,0.93
프론트엔드인강,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
IT아카데미,30,40,10,높음,1.5,1.0,3.85,2.5
마케팅국비지원,30,20,7,높음,1.0,2.0,3.23,7.41
빅데이터분석기사필기,560,710,10,높음,2.1,2.5,0.39,0.38
ADSP데이터분석준전문가,140,140,7,높음,0.1,0.5,0.1,0.35
데이터모델링,60,50,7,높음,0.1,0.0,0.24,0.0
데이터분석준전문가인강,< 10,10,7,높음,0.3,1.5,4.09,13.64
SQL쿼리,70,70,3,높음,0.0,0.0,0.0,0.0
FLUTTER강의,20,< 10,7,높음,0.0,0.0,0.0,0.0
채용연계부트캠프,< 10,20,7,높음,0.1,0.5,1.59,2.67
대구조경학원,20,50,6,중간,1.3,4.3,5.23,7.95
국비지원AI,90,210,10,높음,1.9,11.0,1.96,5.62
POSTGRESQL강의,< 10,< 10,3,높음,0.0,0.0,0.0,0.0
SQL무료강의,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
SQL온라인,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
인간공학기술사,410,520,10,높음,0.6,1.5,0.16,0.31
국비지원개발자,20,40,10,높음,0.7,2.8,3.05,6.09
VUE.JS,180,130,7,높음,0.1,0.8,0.08,0.57
컴퓨터공학과,710,2510,10,높음,0.2,2.6,0.03,0.12
AI프로그래밍,60,50,10,높음,0.1,1.0,0.15,1.71
개발공부,20,10,7,높음,0.0,0.3,0.0,1.57
개발플랫폼,10,< 10,7,높음,0.0,0.0,0.0,0.0
POSTGRESQL,870,280,10,높음,0.7,1.0,0.09,0.37
AI개발자교육,100,130,7,높음,3.0,6.4,3.0,5.21
AI기술,210,270,10,높음,0.3,3.0,0.15,1.15
AI코딩학원,30,70,7,높음,0.7,1.6,2.05,2.32
AI학과,560,1330,10,높음,1.4,6.0,0.26,0.49
인공지능교육기관,< 10,< 10,7,높음,0.0,0.3,0.0,25.0
인공지능학과,440,1860,10,높음,0.7,1.8,0.17,0.11
성인코딩학원,10,60,10,높음,0.7,2.0,4.2,3.78
코딩게임,170,190,10,높음,0.4,2.0,0.25,1.09
로봇자격증,120,320,3,중간,0.3,0.7,0.29,0.23
직장인국비지원교육,520,1060,10,높음,2.4,11.6,0.48,1.17
일본개발자취업,30,20,7,높음,1.1,0.5,3.38,2.39
핀테크교육,10,< 10,7,높음,0.0,0.0,0.0,0.0
개발자취업연계,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
코딩강의사이트,20,< 10,7,높음,0.1,0.0,0.63,0.0
창의로봇,30,190,3,높음,0.0,0.0,0.0,0.0
VUE,160,230,0,낮음,0.0,0.0,0.0,0.0
조경기사인강,70,80,10,높음,4.8,9.8,6.4,11.96
IOS개발자,20,20,7,높음,0.1,0.3,0.63,0.94
C#코딩테스트,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
K-디지털트레이닝,460,240,10,높음,2.2,3.8,0.5,1.75
스마트팩토리교육,80,40,10,높음,1.2,1.6,1.45,3.31
CHATGPT,1025100,890200,7,높음,96.9,248.9,0.01,0.03
MYSQL강의,< 10,< 10,7,높음,0.0,0.3,0.0,14.29
개발자취업준비,10,10,7,높음,0.0,0.0,0.0,0.0
개발자교육과정,< 10,< 10,7,높음,0.1,0.0,2.86,0.0
정보보안국비교육,< 10,< 10,7,높음,0.4,0.3,10.72,4.17
내일배움카드취업,60,210,10,높음,0.2,0.5,0.33,0.25
베스트직업훈련기관,10,< 10,2,중간,0.0,1.6,0.0,27.28
REACTNATIVE,110,50,7,높음,0.6,0.0,0.53,0.0
내일배움AI,40,70,7,높음,1.1,3.0,2.66,4.11
인공지능부트캠프,20,20,7,높음,0.3,0.5,1.25,2.28
정보시스템감리사,1210,1210,10,높음,9.1,21.6,0.8,1.92
C언어,1010,1610,10,높음,0.8,6.2,0.09,0.41
C언어무료강의,< 10,< 10,0,낮음,0.0,0.0,0.0,0.0
국비지원안산,< 10,< 10,7,높음,0.1,0.3,3.58,3.58
리눅스강의,10,10,7,높음,0.9,0.5,4.52,3.85
리눅스국비지원,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
리눅스자격증,140,240,7,높음,0.3,2.0,0.2,0.9
시흥국비지원,10,40,7,높음,0.0,1.6,0.0,3.91
안산국비교육,< 10,< 10,7,높음,0.0,0.5,0.0,12.5
개발자공부,20,20,7,높음,0.0,0.3,0.0,0.93
천안IT,< 10,< 10,3,높음,0.0,0.0,0.0,0.0
천안국비지원컴퓨터학원,20,40,7,높음,0.1,1.0,0.8,2.71
청주구인구직,80,450,10,높음,3.4,23.8,4.2,5.59
평택일자리,170,1010,10,높음,1.0,20.9,0.59,2.18
MYSQL교육,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
내배카,240,500,10,높음,0.1,2.3,0.05,0.49
IT관련자격증,60,40,10,높음,0.1,0.8,0.17,1.71
재직자국비지원,260,380,10,높음,2.1,3.6,0.83,1.01
POWERBI강의,30,20,10,높음,1.1,0.8,3.44,2.68
코딩내일배움카드,< 10,10,7,높음,0.0,0.3,0.0,2.5
ADP실기강의,< 10,< 10,3,높음,0.0,0.0,0.0,0.0
클라우드국비,20,30,10,높음,0.5,1.4,2.39,5.19
클라우드엔지니어과정,< 10,< 10,6,중간,0.0,0.0,0.0,0.0
클라우드엔지니어학원,90,< 10,7,높음,0.6,0.3,0.59,12.5
웹디자인독학,10,10,7,높음,0.0,0.0,0.0,0.0
개발교육,10,30,7,높음,0.1,0.3,1.2,0.79
IT기획교육,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
통계교육,90,20,7,높음,0.1,0.5,0.16,2.09
내일배움카드코딩,50,60,10,높음,0.4,1.0,0.72,1.54
K디지털,70,70,7,높음,0.4,1.0,0.57,1.37
C#온라인강의,< 10,< 10,7,높음,0.1,0.3,2.86,6.25
IT교육센터,40,40,7,높음,0.4,0.6,1.13,1.45
대구IT국비지원,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
부트캠프국비지원,30,30,7,높음,0.1,0.8,0.43,2.43
클라우드엔지니어국비,20,50,7,높음,2.4,5.6,9.0,13.66
프로젝트매니저,440,590,10,높음,0.2,2.3,0.05,0.4
ADP인강,10,10,7,높음,1.3,1.8,6.77,10.94
국비지원종류,740,3590,10,높음,1.8,52.6,0.25,1.55
ICT교육,100,90,7,높음,0.4,0.3,0.41,0.28
네트워크,1750,3440,10,높음,1.3,10.2,0.08,0.32
네트워크엔지니어,130,230,10,높음,0.4,2.0,0.32,0.93
리눅스마스터,2030,1630,10,높음,0.7,4.6,0.04,0.3
미래유망직업,610,1740,10,높음,0.6,4.3,0.11,0.27
서버관리자,30,70,7,높음,0.4,1.0,1.13,1.45
국비지원개발,< 10,< 10,7,높음,0.1,0.5,2.05,9.1
게임개발학원,120,160,10,높음,2.3,9.2,2.02,5.79
자바스크립트,1020,1070,10,높음,1.0,3.0,0.11,0.31
모터제어,40,40,7,높음,0.0,0.3,0.0,0.54
AI마케팅강의,30,30,7,높음,0.7,1.8,1.88,6.2
AI이해,10,< 10,3,높음,0.0,0.0,0.0,0.0
국비지원신청,590,1660,10,높음,0.4,10.4,0.08,0.66
서비스기획부트캠프,60,70,7,높음,2.0,2.2,3.04,3.2
코딩자격증,670,1860,10,높음,2.7,26.8,0.41,1.55
VUE.JS강의,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
VUE.JS강좌,< 10,< 10,7,높음,0.1,0.0,7.15,0.0
VUE강의,< 10,< 10,7,높음,0.0,0.3,0.0,6.25
VUE강좌,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
뷰JS,20,10,3,높음,0.0,0.0,0.0,0.0
PROJECTMANAGER,210,110,7,높음,0.0,0.3,0.0,0.23
대학생부트캠프,10,30,5,중간,0.0,0.3,0.0,1.05
국비지원개발자교육,< 10,< 10,7,높음,0.0,0.5,0.0,50.0
서버관리자교육,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
시스템엔지니어교육,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
클라우드엔지니어국비지원,10,< 10,7,높음,0.0,0.0,0.0,0.0
게임개발인강,< 10,< 10,0,낮음,0.0,0.0,0.0,0.0
모바일앱개발,90,150,10,높음,2.9,6.6,3.09,4.53
앱개발교육,10,10,7,높음,0.9,1.0,4.52,8.34
어플개발,200,250,10,높음,3.3,7.2,1.69,3.08
어플만드는법,440,1570,10,높음,5.7,44.2,1.32,2.98
어플만들기,280,400,10,높음,2.2,10.0,0.82,2.62
앱개발강의,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
프론트엔드온라인강의,< 10,< 10,7,높음,0.0,0.3,0.0,12.5
국비지원코딩교육,20,40,10,높음,0.6,2.0,2.15,4.66
풀스택부트캠프,50,70,7,높음,1.9,3.0,3.72,4.23
GAME,1090,2890,10,높음,3.1,6.6,0.31,0.25
게임개발부트캠프,40,50,7,높음,2.9,3.4,6.35,6.08
디자인씽킹교육,10,< 10,7,높음,0.0,0.0,0.0,0.0
POWERBI인강,< 10,< 10,7,높음,0.0,0.3,0.0,6.25
ICT,5720,5320,7,높음,1.3,7.6,0.03,0.15
IT교육기관,10,10,7,높음,0.3,0.0,1.59,0.0
REACT교육,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
REACT학원,< 10,< 10,7,높음,0.0,0.3,0.0,6.25
딥러닝머신러닝,110,220,10,높음,0.0,0.8,0.0,0.35
머신러닝,1340,1600,10,높음,1.5,5.1,0.12,0.34
부트스트랩,360,210,6,중간,0.5,0.0,0.14,0.0
보급형스마트팜,90,150,6,중간,2.8,7.4,2.95,4.84
ADSP인터넷강의,< 10,< 10,7,높음,0.3,0.0,7.15,0.0
BI교육,20,20,3,높음,0.0,0.0,0.0,0.0
파워비아이교육,< 10,< 10,7,높음,0.1,1.1,2.86,16.0
국비,1010,2290,10,높음,2.2,6.0,0.23,0.28
LABVIEW,220,110,10,높음,2.8,0.5,1.25,0.46
국비무료,40,60,10,높음,0.2,0.4,0.46,0.77
부산전기기사,20,40,10,높음,0.2,1.3,0.77,3.05
취업상담,240,460,10,높음,4.0,6.2,1.66,1.41
전기산업기사실기,970,2380,10,높음,3.1,13.0,0.34,0.59
빅데이터취업,10,60,10,높음,0.1,0.5,0.67,0.74
정보통신산업기사,1270,1640,10,높음,6.2,12.4,0.51,0.78
CAN통신,300,310,10,높음,0.1,0.8,0.04,0.25
CAN통신교육,< 10,< 10,2,중간,0.0,0.0,0.0,0.0
ECU,730,1300,7,높음,0.1,2.5,0.03,0.21
회로설계,130,170,10,높음,0.5,1.2,0.39,0.69
개발자자격증,120,160,10,높음,0.2,1.9,0.17,1.24
IT교육강사,< 10,< 10,0,낮음,0.0,0.0,0.0,0.0
IT교육사이트,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
K-디지털기초역량훈련,260,80,10,높음,1.3,2.0,0.52,2.54
기술배우는곳,< 10,< 10,3,높음,0.0,0.0,0.0,0.0
문과취업,240,1520,3,높음,0.0,0.7,0.0,0.05
전문대취업,60,320,10,높음,0.0,0.8,0.0,0.25
전산교육,20,20,3,높음,0.0,0.0,0.0,0.0
전산학,30,60,3,높음,0.0,0.3,0.0,0.55
전산학원,10,50,7,높음,0.0,0.0,0.0,0.0
전자정부프레임워크교육,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
실업자국비지원무료교육,40,260,10,높음,0.6,6.8,1.43,2.68
UIUX학원,50,70,10,높음,1.5,2.2,2.95,2.94
UXUI디자인학원,20,50,10,높음,0.6,1.4,2.15,3.05
UXUI학원,40,80,10,높음,0.3,3.2,0.7,4.16
UX디자이너,130,550,10,높음,0.3,3.2,0.23,0.62
앱제작,160,910,10,높음,5.3,4.4,3.26,0.51
퍼블리셔,440,610,10,높음,0.0,1.5,0.0,0.26
프론트엔드학원,10,30,10,높음,0.7,2.8,4.38,7.37
부산AI학원,90,90,7,높음,2.9,7.2,2.98,7.83
내일배움카드발급,990,1760,10,높음,0.1,3.1,0.02,0.19
청년취업,580,1250,10,높음,0.8,9.6,0.15,0.81
국민내일배움카드,17300,42400,10,높음,15.6,140.7,0.1,0.35
VR,3470,12000,8,높음,4.5,28.0,0.14,0.26
VR개발,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
언리얼엔진5,380,440,10,높음,0.8,4.0,0.22,0.98
언리얼엔진국비지원,10,10,7,높음,0.3,0.3,2.05,1.79
크래프톤채용,930,1440,9,높음,0.9,7.5,0.1,0.55
미래직업전망,80,490,3,높음,0.0,0.0,0.0,0.0
직업능력개발훈련시설,180,50,7,높음,0.6,0.5,0.32,1.03
부산조경기능사,50,60,7,높음,3.6,3.5,6.15,5.31
부산조경기능사학원,10,70,10,높음,1.4,11.3,9.34,15.85
부산조경기사학원,< 10,10,5,중간,0.0,0.7,0.0,5.13
국비지원직업전문학교,< 10,< 10,7,높음,0.3,1.3,5.72,15.63
클라우드엔지니어,190,270,10,높음,2.4,3.0,1.33,1.16
IT강좌,< 10,20,7,높음,0.0,0.5,0.0,1.77
IT배우기,< 10,< 10,0,낮음,0.0,0.0,0.0,0.0
JAVA개발자,30,30,7,높음,0.0,1.0,0.0,3.13
국가지원교육,270,490,10,높음,0.4,6.8,0.15,1.46
국비교육원,10,10,7,높음,0.0,0.3,0.0,1.86
국비지원무료,< 10,10,7,높음,0.0,0.5,0.0,4.17
국비지원자격증학원,10,20,7,높음,0.0,1.0,0.0,5.0
국비지원직업,< 10,20,7,높음,0.0,0.8,0.0,3.75
국비지원취업성공패키지,< 10,20,7,높음,0.1,0.8,1.79,3.58
국비학원추천,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
국취제,2910,7870,6,중간,0.3,9.2,0.02,0.13
내일배움카드디자인,30,50,7,높음,0.6,0.8,1.74,1.48
실업자내일배움카드,130,340,10,높음,0.3,0.8,0.24,0.23
청년취업교육,< 10,20,7,높음,0.0,1.0,0.0,3.58
청년취업아카데미,30,30,6,중간,0.0,0.5,0.0,1.6
컴퓨터무료강의,< 10,10,7,높음,0.6,0.5,11.43,5.0
국비지원사이트,80,130,10,높음,0.3,1.4,0.37,1.12
구직자교육,< 10,10,7,높음,0.0,0.0,0.0,0.0
구직자국비지원,20,70,7,높음,0.3,0.8,1.1,1.05
국민내일배움카드구직자,10,10,7,높음,0.1,0.0,0.9,0.0
국민내일배움카드신청방법,1300,3880,10,높음,1.1,25.2,0.09,0.68
국민내일배움카드훈련,70,80,3,높음,0.0,0.0,0.0,0.0
국민내일배움카드훈련기관,10,10,6,중간,0.0,0.3,0.0,2.28
재직자교육,230,70,10,높음,0.9,0.6,0.4,0.78
PCB교육,20,20,7,높음,0.7,0.5,2.65,2.03
정보통신학원,30,50,10,높음,0.4,2.3,1.23,4.25
오토캐드강의,80,40,10,높음,0.8,1.2,1.06,2.61
내일배움카드교육,10000,20500,10,높음,28.2,223.0,0.29,1.15
서울직업학교,30,80,7,높음,0.1,2.5,0.43,3.09
양산캐드학원,10,20,7,높음,0.7,2.6,6.5,11.82
CCNA자격증,360,520,10,높음,1.6,3.6,0.45,0.72
CCNA교육,< 10,< 10,7,높음,0.4,0.5,6.13,12.5
네트워크관리사학원,10,10,7,높음,0.1,0.5,1.43,3.85
네트워크보안교육,< 10,< 10,7,높음,0.0,0.3,0.0,6.25
모의해킹,120,100,7,높음,0.4,0.4,0.37,0.43
